Plant Name,Soil Type,Soil pH,Temperature,Rainfall (mm),Required Fertilizer,Common Pests & Recommended Pesticides
Maize,Clayey Loam,6.7,21,1591,Organic Compost,Stem Borer - Carbaryl
Tomato,Loamy,7.1,16,2013,Calcium Ammonium Nitrate,Scab - Captan
Mahogany,Loamy,6.3,13,2345,Organic Compost,Leaf Spot - Chlorothalonil
Maize,Sandy Loam,6.9,26,2413,Potash Fertilizer,Blister Blight - Copper Oxychloride
Sugarcane,Sandy,6.6,15,1231,Potassium Nitrate,Blister Blight - Copper Oxychloride
Cauliflower,Alluvial,7.4,31,2448,Potassium Nitrate,Blast - Tricyclazole
Sugarcane,Clayey Loam,6.1,18,1165,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Lentils,Laterite,6.8,24,1237,NPK Fertilizer,Anthracnose - Carbendazim
Watermelon,Clayey Loam,6.8,10,779,Urea,Red Rot - Carbendazim
Pear,Black,6.7,15,892,Potash Fertilizer,Rust - Propiconazole
Ginger,Mountain,5.7,24,1412,NPK Fertilizer,Mealybug - Buprofezin
Eucalyptus,Laterite,6.9,22,1348,Organic Compost,Panama Wilt - Thiophanate
Mahogany,Black,5.8,28,1660,DAP,Mealybug - Buprofezin
Okra,Alluvial,6.5,34,748,DAP,Scab - Captan
Banana,Clayey,6.3,10,452,Phosphate Fertilizer,Blast - Tricyclazole
Bamboo,Loamy,7.4,31,1059,Potassium Nitrate,Scab - Captan
Peas,Red,6.2,34,1845,Organic Compost,Blast - Tricyclazole
Neem,Black,7.4,11,1422,Potash Fertilizer,Blast - Tricyclazole
Cotton,Alluvial,6.5,18,1220,Farmyard Manure,Late Blight - Mancozeb
Brinjal,Sandy,6.1,22,2087,Potassium Nitrate,Mealybug - Buprofezin
Pumpkin,Sandy,6.8,19,967,Sulfur Fertilizer,Rust - Mancozeb
Sunflower,Sandy,7.1,14,838,Potash Fertilizer,Thrips - Spinosad
Mango,Red,5.8,18,2058,Potash Fertilizer,Rust - Mancozeb
Strawberry,Alluvial,6.6,14,937,Potash Fertilizer,Rust - Propiconazole
Potato,Sandy Loam,7.3,11,1370,DAP,Panama Wilt - Thiophanate
Bamboo,Mountain,6.7,25,2043,Urea,Blister Blight - Copper Oxychloride
Rice,Loamy,7.3,17,1220,Potash Fertilizer,Leaf Spot - Chlorothalonil
Peach,Black,6.6,26,2077,Farmyard Manure,Late Blight - Mancozeb
Cashew,Sandy,7.3,25,968,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Aloe Vera,Mountain,5.5,23,1286,Phosphate Fertilizer,Stem Borer - Carbaryl
Rice,Sandy,7,32,627,Urea,Stem Borer - Carbaryl
Apple,Mountain,6.7,18,1334,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Cabbage,Mountain,6.9,29,1317,Phosphate Fertilizer,Coffee Rust - Propiconazole
Blueberry,Sandy,6.8,25,1105,Phosphate Fertilizer,Mealybug - Buprofezin
Eucalyptus,Laterite,7,35,2043,Organic Compost,Panama Wilt - Thiophanate
Ginger,Alluvial,6.8,10,1266,Sulfur Fertilizer,Aphids - Imidacloprid
Peach,Laterite,6.7,28,2426,Farmyard Manure,Aphids - Imidacloprid
Tomato,Red,7,21,700,Phosphate Fertilizer,Late Blight - Mancozeb
Cabbage,Red,7.5,17,758,NPK Fertilizer,Bud Rot - Copper Oxychloride
Neem,Sandy Loam,7.3,35,520,Potassium Nitrate,Aphids - Imidacloprid
Cauliflower,Loamy,5.8,12,1817,NPK Fertilizer,Rust - Mancozeb
Basil,Red,6.1,10,1788,NPK Fertilizer,Coffee Rust - Propiconazole
Basil,Loamy,6.2,15,2489,Organic Compost,Stem Borer - Carbaryl
Cabbage,Loamy,7,31,1238,Farmyard Manure,Blister Blight - Copper Oxychloride
Apple,Laterite,5.8,30,982,Potassium Nitrate,Rust - Propiconazole
Sugarcane,Black,6.2,13,480,DAP,Blister Blight - Copper Oxychloride
Jackfruit,Sandy Loam,7.4,26,408,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Groundnut,Sandy,6.4,13,1406,DAP,Bollworm - Cypermethrin
Mustard,Red,6.2,12,2026,Potassium Nitrate,Aphids - Imidacloprid
Carrot,Sandy,7.2,13,1431,NPK Fertilizer,Leaf Curl - Imidacloprid
Tomato,Clayey Loam,5.6,18,425,Organic Compost,Blast - Tricyclazole
Tomato,Clayey,7.2,16,315,Organic Compost,Panama Wilt - Thiophanate
Coffee,Clayey Loam,7.3,30,1953,Organic Compost,Coffee Rust - Propiconazole
Aloe Vera,Clayey,7,10,1335,NPK Fertilizer,Bollworm - Cypermethrin
Apple,Red,7.3,30,735,Urea,Anthracnose - Carbendazim
Cashew,Clayey,6.7,26,1241,Farmyard Manure,Panama Wilt - Thiophanate
Maize,Alluvial,5.9,12,1903,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Jackfruit,Sandy,5.8,28,2227,NPK Fertilizer,Leaf Spot - Chlorothalonil
Apple,Clayey Loam,7.5,10,437,Phosphate Fertilizer,Panama Wilt - Thiophanate
Cauliflower,Laterite,5.6,11,1826,Potash Fertilizer,Rust - Mancozeb
Peach,Sandy,6.5,23,628,Organic Compost,Scab - Captan
Watermelon,Red,6.1,32,2092,Potash Fertilizer,Late Blight - Mancozeb
Mahogany,Clayey Loam,5.9,29,1551,Organic Compost,Anthracnose - Carbendazim
Bamboo,Red,5.9,21,1101,Organic Compost,Panama Wilt - Thiophanate
Jackfruit,Red,6,10,1524,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Pear,Black,5.5,18,1653,Potash Fertilizer,Scab - Captan
Cotton,Clayey Loam,5.6,17,2450,Potassium Nitrate,Red Rot - Carbendazim
Black Gram,Black,6.7,31,625,Organic Compost,Coffee Rust - Propiconazole
Cashew,Sandy,6.9,12,1355,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Guava,Alluvial,6,19,1269,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Potato,Sandy Loam,6.8,10,426,NPK Fertilizer,Coffee Rust - Propiconazole
Cauliflower,Loamy,6.8,26,2477,Phosphate Fertilizer,Aphids - Imidacloprid
Peas,Clayey Loam,6.9,29,1102,NPK Fertilizer,Rust - Propiconazole
Chili,Mountain,6.8,12,838,Potash Fertilizer,Rust - Propiconazole
Aloe Vera,Sandy,7.2,35,1921,Potash Fertilizer,Leaf Spot - Chlorothalonil
Guava,Mountain,7.4,27,1229,Organic Compost,Rust - Propiconazole
Maize,Loamy,7.5,28,633,Urea,Leaf Spot - Chlorothalonil
Eucalyptus,Loamy,5.7,31,1153,Organic Compost,Stem Borer - Carbaryl
Green Gram,Laterite,5.8,34,472,NPK Fertilizer,Leaf Curl - Imidacloprid
Watermelon,Red,5.7,21,1601,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Spinach,Black,6.4,34,641,Sulfur Fertilizer,Stem Borer - Carbaryl
Rice,Sandy Loam,5.8,27,1807,NPK Fertilizer,Rust - Mancozeb
Pear,Mountain,7.3,29,1886,NPK Fertilizer,Anthracnose - Carbendazim
Peach,Alluvial,7.5,27,1783,Urea,Coffee Rust - Propiconazole
Cabbage,Sandy,6.2,17,2344,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Okra,Sandy,5.9,12,1160,Sulfur Fertilizer,Bollworm - Cypermethrin
Cashew,Clayey,7.2,15,1064,Organic Compost,Panama Wilt - Thiophanate
Mango,Sandy,6.9,32,591,Phosphate Fertilizer,Red Rot - Carbendazim
Banana,Loamy,7.3,13,1720,Urea,Late Blight - Mancozeb
Radish,Alluvial,5.6,33,1317,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Apple,Clayey,6.1,11,1708,Potassium Nitrate,Powdery Mildew - Sulfur
Watermelon,Sandy,6.6,19,1878,Potassium Nitrate,Rust - Propiconazole
Mahogany,Sandy Loam,6.9,22,1399,Phosphate Fertilizer,Anthracnose - Carbendazim
Pear,Sandy Loam,6.6,33,2372,NPK Fertilizer,Leaf Curl - Imidacloprid
Carrot,Mountain,5.8,27,1165,Calcium Ammonium Nitrate,Leaf Spot - Chlorothalonil
Papaya,Loamy,6.5,32,890,Organic Compost,Leaf Spot - Chlorothalonil
Cauliflower,Loamy,6.9,15,1144,DAP,Leaf Curl - Imidacloprid
Jute,Clayey Loam,5.9,22,2417,Urea,Powdery Mildew - Sulfur
Coffee,Loamy,5.6,17,1269,Potassium Nitrate,Panama Wilt - Thiophanate
Carrot,Clayey Loam,5.7,33,1222,Sulfur Fertilizer,Late Blight - Mancozeb
Papaya,Alluvial,6.3,12,375,Farmyard Manure,Bud Rot - Copper Oxychloride
Soybean,Clayey,7,21,1604,Potash Fertilizer,Leaf Spot - Chlorothalonil
Jute,Laterite,7.3,19,2100,Phosphate Fertilizer,Thrips - Spinosad
Basil,Sandy Loam,7.4,33,318,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Okra,Alluvial,5.7,31,1383,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Cabbage,Clayey Loam,6.4,19,1142,Organic Compost,Stem Borer - Carbaryl
Cabbage,Sandy,6.6,35,1103,Potash Fertilizer,Thrips - Spinosad
Onion,Alluvial,6.9,15,2387,Farmyard Manure,Coffee Rust - Propiconazole
Brinjal,Clayey Loam,5.7,23,958,Organic Compost,Thrips - Spinosad
Coconut,Laterite,6.6,35,2448,Potash Fertilizer,Blister Blight - Copper Oxychloride
Rice,Clayey,5.6,17,1314,Urea,Rust - Mancozeb
Coffee,Sandy Loam,5.8,22,1949,Potash Fertilizer,Blast - Tricyclazole
Pear,Red,6.5,10,2040,Potassium Nitrate,Leaf Curl - Imidacloprid
Groundnut,Clayey,6.9,27,762,Urea,Powdery Mildew - Sulfur
Potato,Red,6.4,11,1092,NPK Fertilizer,Powdery Mildew - Sulfur
Spinach,Sandy,5.7,33,408,Organic Compost,Mealybug - Buprofezin
Coffee,Alluvial,7,32,560,Potassium Nitrate,Bud Rot - Copper Oxychloride
Turmeric,Black,6.4,32,2130,Potassium Nitrate,Coffee Rust - Propiconazole
Peach,Sandy,7,26,599,Potassium Nitrate,Rust - Mancozeb
Brinjal,Alluvial,6.1,35,1520,Sulfur Fertilizer,Panama Wilt - Thiophanate
Strawberry,Clayey,7.1,31,1880,Sulfur Fertilizer,Thrips - Spinosad
Peas,Clayey Loam,7.3,11,2056,NPK Fertilizer,Blister Blight - Copper Oxychloride
Coffee,Red,5.7,13,2326,Urea,Bud Rot - Copper Oxychloride
Potato,Sandy Loam,6.2,22,1484,NPK Fertilizer,Leaf Curl - Imidacloprid
Wheat,Laterite,6.6,21,2211,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Cotton,Clayey,7,26,2371,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Bamboo,Sandy,6.8,15,1477,Farmyard Manure,Leaf Spot - Chlorothalonil
Strawberry,Alluvial,6.1,14,494,Sulfur Fertilizer,Blast - Tricyclazole
Turmeric,Sandy Loam,7.3,28,870,Calcium Ammonium Nitrate,Thrips - Spinosad
Soybean,Red,6.9,14,2361,Urea,Anthracnose - Carbendazim
Tomato,Sandy Loam,6.6,22,1413,NPK Fertilizer,Rust - Mancozeb
Black Gram,Alluvial,6.7,33,893,Urea,Leaf Spot - Chlorothalonil
Coffee,Mountain,6,23,2499,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Pumpkin,Laterite,6.8,28,1990,NPK Fertilizer,Powdery Mildew - Sulfur
Cashew,Sandy,5.8,14,1532,Potash Fertilizer,Blister Blight - Copper Oxychloride
Black Gram,Alluvial,7.3,19,1884,Organic Compost,Bollworm - Cypermethrin
Eucalyptus,Sandy Loam,5.7,10,970,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Green Gram,Clayey Loam,5.9,28,2150,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Turmeric,Red,7.1,23,1423,Sulfur Fertilizer,Powdery Mildew - Sulfur
Watermelon,Alluvial,6.6,12,1622,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Brinjal,Red,6.2,21,1349,NPK Fertilizer,Blast - Tricyclazole
Coffee,Mountain,6.6,27,1329,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Maize,Red,6.1,19,1519,NPK Fertilizer,Blast - Tricyclazole
Lentils,Laterite,6.2,14,2068,Farmyard Manure,Powdery Mildew - Sulfur
Basil,Clayey,6.5,29,1482,NPK Fertilizer,Panama Wilt - Thiophanate
Lentils,Alluvial,7.5,20,1940,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Cauliflower,Loamy,6.5,21,1963,Potash Fertilizer,Leaf Spot - Chlorothalonil
Soybean,Sandy Loam,6.8,11,989,Potash Fertilizer,Blast - Tricyclazole
Bamboo,Black,5.7,21,2199,Sulfur Fertilizer,Red Rot - Carbendazim
Rice,Loamy,6.3,35,1129,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Okra,Red,5.7,21,2204,Phosphate Fertilizer,Aphids - Imidacloprid
Pear,Loamy,6.5,27,2214,Phosphate Fertilizer,Mealybug - Buprofezin
Jackfruit,Clayey,5.6,18,1805,DAP,Scab - Captan
Papaya,Loamy,6.2,19,1931,NPK Fertilizer,Blast - Tricyclazole
Coffee,Sandy,6,29,1730,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Blueberry,Sandy Loam,5.8,22,2286,Potassium Nitrate,Thrips - Spinosad
Cashew,Laterite,7.2,13,880,Sulfur Fertilizer,Red Rot - Carbendazim
Groundnut,Alluvial,6.7,34,2362,Potash Fertilizer,Aphids - Imidacloprid
Cauliflower,Sandy Loam,5.7,20,419,Potassium Nitrate,Leaf Curl - Imidacloprid
Mango,Mountain,6.9,20,2026,Potassium Nitrate,Late Blight - Mancozeb
Peas,Clayey,5.6,13,1393,Potassium Nitrate,Panama Wilt - Thiophanate
Eucalyptus,Sandy,7,32,365,NPK Fertilizer,Blister Blight - Copper Oxychloride
Mahogany,Mountain,7.2,34,2429,Potash Fertilizer,Leaf Spot - Chlorothalonil
Aloe Vera,Sandy Loam,6.8,27,1832,NPK Fertilizer,Coffee Rust - Propiconazole
Turmeric,Sandy Loam,6,11,2060,Farmyard Manure,Mealybug - Buprofezin
Aloe Vera,Mountain,6.6,12,921,Sulfur Fertilizer,Aphids - Imidacloprid
Brinjal,Clayey Loam,7.2,27,1229,DAP,Stem Borer - Carbaryl
Mustard,Mountain,6.6,10,1933,Urea,Blister Blight - Copper Oxychloride
Turmeric,Loamy,6,17,1049,Calcium Ammonium Nitrate,Leaf Spot - Chlorothalonil
Soybean,Loamy,5.8,32,2373,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Mustard,Clayey Loam,6.7,15,1463,Sulfur Fertilizer,Panama Wilt - Thiophanate
Coffee,Loamy,7,33,2382,Farmyard Manure,Blast - Tricyclazole
Wheat,Alluvial,6.4,34,1182,Organic Compost,Mealybug - Buprofezin
Peas,Laterite,5.9,15,590,Potassium Nitrate,Bud Rot - Copper Oxychloride
Onion,Black,5.5,27,1092,Phosphate Fertilizer,Rust - Mancozeb
Black Gram,Sandy,7,24,1860,Sulfur Fertilizer,Scab - Captan
Pineapple,Clayey,6,22,867,Sulfur Fertilizer,Thrips - Spinosad
Jute,Sandy Loam,6.4,18,2100,Farmyard Manure,Leaf Spot - Chlorothalonil
Neem,Sandy Loam,6.1,29,738,Phosphate Fertilizer,Aphids - Imidacloprid
Green Gram,Sandy,6.1,17,353,Phosphate Fertilizer,Bollworm - Cypermethrin
Potato,Mountain,5.8,35,1088,Sulfur Fertilizer,Bollworm - Cypermethrin
Eucalyptus,Red,6.8,34,1196,NPK Fertilizer,Rust - Propiconazole
Apple,Sandy,6.1,26,1777,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Okra,Black,7.3,35,478,Sulfur Fertilizer,Thrips - Spinosad
Turmeric,Loamy,6.4,25,1096,Organic Compost,Leaf Spot - Chlorothalonil
Apple,Red,6.9,18,1583,Phosphate Fertilizer,Powdery Mildew - Sulfur
Groundnut,Loamy,6.1,23,1974,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Wheat,Sandy,6.4,23,646,Calcium Ammonium Nitrate,Blast - Tricyclazole
Cabbage,Clayey,7,29,1622,NPK Fertilizer,Late Blight - Mancozeb
Aloe Vera,Sandy Loam,6.1,32,2248,Urea,Rust - Mancozeb
Lentils,Mountain,6.2,24,1758,Potash Fertilizer,Panama Wilt - Thiophanate
Pomegranate,Black,6.9,13,1051,DAP,Bud Rot - Copper Oxychloride
Mango,Sandy Loam,7.2,14,1347,Urea,Scab - Captan
Carrot,Mountain,6.2,12,665,NPK Fertilizer,Aphids - Imidacloprid
Lentils,Laterite,5.8,16,1574,DAP,Rust - Mancozeb
Peach,Mountain,5.6,25,2247,Potash Fertilizer,Anthracnose - Carbendazim
Groundnut,Clayey,5.6,13,547,Phosphate Fertilizer,Rust - Propiconazole
Tomato,Alluvial,7.4,33,764,Calcium Ammonium Nitrate,Thrips - Spinosad
Brinjal,Laterite,6.2,15,1583,NPK Fertilizer,Coffee Rust - Propiconazole
Pear,Red,5.6,27,668,Organic Compost,Rust - Mancozeb
Sugarcane,Clayey,6.2,16,2131,Potash Fertilizer,Blister Blight - Copper Oxychloride
Strawberry,Laterite,5.7,28,1249,Phosphate Fertilizer,Stem Borer - Carbaryl
Papaya,Sandy,6.5,33,1808,Sulfur Fertilizer,Red Rot - Carbendazim
Apple,Alluvial,5.8,30,2254,Urea,Scab - Captan
Peach,Alluvial,7,34,564,DAP,Thrips - Spinosad
Chili,Sandy Loam,5.8,20,1310,Potash Fertilizer,Coffee Rust - Propiconazole
Carrot,Black,6.7,12,2311,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Coconut,Clayey Loam,5.6,28,1363,Organic Compost,Leaf Curl - Imidacloprid
Pineapple,Mountain,5.5,31,1862,Urea,Thrips - Spinosad
Brinjal,Clayey,6.9,21,467,Potassium Nitrate,Rust - Propiconazole
Mango,Laterite,5.8,12,1857,Potassium Nitrate,Leaf Spot - Chlorothalonil
Tea,Clayey Loam,6.1,12,1400,Farmyard Manure,Coffee Rust - Propiconazole
Onion,Clayey Loam,5.7,35,1889,DAP,Rust - Mancozeb
Basil,Laterite,5.6,26,1039,DAP,Leaf Spot - Chlorothalonil
Wheat,Sandy Loam,7.5,30,2042,Calcium Ammonium Nitrate,Blast - Tricyclazole
Pineapple,Clayey Loam,6.3,30,1918,Farmyard Manure,Stem Borer - Carbaryl
Papaya,Laterite,6.1,15,2462,Potassium Nitrate,Coffee Rust - Propiconazole
Spinach,Sandy,7.2,25,1320,NPK Fertilizer,Scab - Captan
Apple,Loamy,7.2,32,2070,Potassium Nitrate,Scab - Captan
Jute,Clayey,6.9,26,1613,Urea,Blister Blight - Copper Oxychloride
Mahogany,Black,7.3,17,376,Potash Fertilizer,Anthracnose - Carbendazim
Banana,Loamy,7,12,1066,Farmyard Manure,Stem Borer - Carbaryl
Jute,Alluvial,6.8,23,1460,Phosphate Fertilizer,Panama Wilt - Thiophanate
Ginger,Laterite,6.2,26,2116,Organic Compost,Thrips - Spinosad
Pumpkin,Loamy,6.9,10,343,Potassium Nitrate,Mealybug - Buprofezin
Blueberry,Sandy Loam,6.2,29,1184,Phosphate Fertilizer,Coffee Rust - Propiconazole
Wheat,Black,6.5,17,1771,NPK Fertilizer,Anthracnose - Carbendazim
Brinjal,Loamy,5.9,26,2126,NPK Fertilizer,Panama Wilt - Thiophanate
Papaya,Mountain,6.6,33,2192,Potash Fertilizer,Scab - Captan
Soybean,Laterite,6.5,27,2167,Farmyard Manure,Bollworm - Cypermethrin
Chili,Black,7.3,16,1458,Urea,Bud Rot - Copper Oxychloride
Basil,Black,5.9,15,370,Urea,Late Blight - Mancozeb
Spinach,Alluvial,6.8,17,2163,DAP,Leaf Curl - Imidacloprid
Soybean,Mountain,6.1,13,2093,Potash Fertilizer,Bud Rot - Copper Oxychloride
Cotton,Sandy,6.4,21,2081,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Peach,Loamy,6.7,26,577,Potash Fertilizer,Bollworm - Cypermethrin
Cabbage,Clayey,6,19,2038,Organic Compost,Panama Wilt - Thiophanate
Brinjal,Clayey Loam,5.7,22,1309,DAP,Rust - Propiconazole
Peas,Sandy Loam,6.9,29,2335,Sulfur Fertilizer,Thrips - Spinosad
Okra,Laterite,6.4,12,2418,Phosphate Fertilizer,Rust - Mancozeb
Bamboo,Alluvial,5.8,17,1199,Sulfur Fertilizer,Anthracnose - Carbendazim
Neem,Sandy,5.7,31,412,NPK Fertilizer,Late Blight - Mancozeb
Wheat,Alluvial,7.5,12,1973,Phosphate Fertilizer,Thrips - Spinosad
Papaya,Red,7.2,10,2195,Potassium Nitrate,Scab - Captan
Cotton,Mountain,5.8,17,2212,Potassium Nitrate,Coffee Rust - Propiconazole
Pumpkin,Clayey,5.9,13,370,Farmyard Manure,Panama Wilt - Thiophanate
Watermelon,Mountain,6.2,24,1636,Urea,Thrips - Spinosad
Turmeric,Clayey Loam,6.8,10,1059,Phosphate Fertilizer,Bollworm - Cypermethrin
Mustard,Sandy Loam,6.9,28,332,Farmyard Manure,Rust - Propiconazole
Bamboo,Clayey,6.6,10,1033,Phosphate Fertilizer,Late Blight - Mancozeb
Papaya,Clayey Loam,5.8,15,1002,Sulfur Fertilizer,Anthracnose - Carbendazim
Onion,Mountain,6.3,12,2189,DAP,Thrips - Spinosad
Mango,Red,7.3,33,1393,DAP,Blast - Tricyclazole
Lentils,Sandy,6.7,34,1974,Urea,Stem Borer - Carbaryl
Soybean,Clayey Loam,7.4,14,2494,DAP,Mealybug - Buprofezin
Strawberry,Loamy,7.3,20,1522,NPK Fertilizer,Panama Wilt - Thiophanate
Banana,Red,6.2,13,2132,Urea,Aphids - Imidacloprid
Peas,Alluvial,7.2,34,441,NPK Fertilizer,Anthracnose - Carbendazim
Tomato,Clayey,6.1,24,1891,Potassium Nitrate,Leaf Spot - Chlorothalonil
Maize,Black,6.4,26,1323,Potash Fertilizer,Mealybug - Buprofezin
Sugarcane,Alluvial,6.7,11,324,NPK Fertilizer,Mealybug - Buprofezin
Lentils,Sandy Loam,6,31,577,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Neem,Sandy Loam,6,30,2249,Phosphate Fertilizer,Scab - Captan
Groundnut,Loamy,6.7,19,2123,Organic Compost,Leaf Spot - Chlorothalonil
Green Gram,Black,5.9,28,1711,Organic Compost,Blast - Tricyclazole
Strawberry,Clayey,6.2,22,686,Organic Compost,Stem Borer - Carbaryl
Jute,Mountain,7.3,12,1210,Organic Compost,Bollworm - Cypermethrin
Maize,Sandy,6.1,25,1083,Organic Compost,Blister Blight - Copper Oxychloride
Sugarcane,Mountain,5.9,30,2321,Sulfur Fertilizer,Late Blight - Mancozeb
Peas,Clayey,6.1,25,2088,Potassium Nitrate,Stem Borer - Carbaryl
Rice,Clayey,7.1,16,484,Organic Compost,Rust - Propiconazole
Guava,Loamy,6.2,34,2050,NPK Fertilizer,Bollworm - Cypermethrin
Lentils,Black,6.6,34,889,NPK Fertilizer,Late Blight - Mancozeb
Coffee,Sandy,5.9,21,1249,NPK Fertilizer,Stem Borer - Carbaryl
Basil,Laterite,7.5,32,1842,Organic Compost,Late Blight - Mancozeb
Soybean,Sandy Loam,5.6,19,1559,DAP,Aphids - Imidacloprid
Chili,Loamy,5.9,12,1340,Phosphate Fertilizer,Rust - Mancozeb
Soybean,Laterite,7.5,21,2128,NPK Fertilizer,Blister Blight - Copper Oxychloride
Aloe Vera,Alluvial,6.6,25,449,Sulfur Fertilizer,Mealybug - Buprofezin
Pineapple,Sandy,6.4,23,1378,Sulfur Fertilizer,Thrips - Spinosad
Coffee,Sandy,5.7,17,548,Organic Compost,Red Rot - Carbendazim
Eucalyptus,Laterite,7.4,26,1715,Phosphate Fertilizer,Thrips - Spinosad
Soybean,Alluvial,7.3,34,1953,Potassium Nitrate,Stem Borer - Carbaryl
Soybean,Sandy Loam,5.7,18,2032,Sulfur Fertilizer,Powdery Mildew - Sulfur
Basil,Sandy Loam,6.8,18,901,Farmyard Manure,Leaf Curl - Imidacloprid
Coffee,Mountain,7.1,30,559,DAP,Coffee Rust - Propiconazole
Lentils,Red,5.6,33,2135,Potash Fertilizer,Rust - Mancozeb
Soybean,Sandy Loam,6.7,31,1959,DAP,Blister Blight - Copper Oxychloride
Coffee,Sandy Loam,5.8,11,1144,Organic Compost,Scab - Captan
Pear,Mountain,6.2,22,614,Potassium Nitrate,Mealybug - Buprofezin
Mango,Alluvial,5.7,33,1767,Organic Compost,Rust - Mancozeb
Mahogany,Sandy Loam,6.5,10,2254,Phosphate Fertilizer,Anthracnose - Carbendazim
Jackfruit,Sandy,7.2,30,705,Farmyard Manure,Scab - Captan
Onion,Black,6.1,34,1033,Potassium Nitrate,Panama Wilt - Thiophanate
Mahogany,Laterite,6.9,10,459,DAP,Stem Borer - Carbaryl
Banana,Red,6.7,27,984,Phosphate Fertilizer,Late Blight - Mancozeb
Radish,Mountain,7.1,28,805,Organic Compost,Leaf Curl - Imidacloprid
Mahogany,Laterite,6.8,18,724,Sulfur Fertilizer,Scab - Captan
Guava,Clayey Loam,6.3,31,2269,Organic Compost,Coffee Rust - Propiconazole
Mahogany,Sandy,5.9,18,1603,Sulfur Fertilizer,Thrips - Spinosad
Tomato,Sandy,6.5,17,1279,Organic Compost,Aphids - Imidacloprid
Pomegranate,Laterite,5.7,29,676,DAP,Stem Borer - Carbaryl
Peach,Mountain,7.3,14,2112,Potash Fertilizer,Anthracnose - Carbendazim
Sunflower,Black,5.8,35,1325,Farmyard Manure,Blister Blight - Copper Oxychloride
Cashew,Clayey Loam,7.2,35,2066,Potassium Nitrate,Leaf Curl - Imidacloprid
Cotton,Sandy Loam,7.1,26,989,DAP,Mealybug - Buprofezin
Pineapple,Clayey,7,22,2074,Potassium Nitrate,Panama Wilt - Thiophanate
Okra,Clayey Loam,6.9,15,2065,Organic Compost,Leaf Curl - Imidacloprid
Jute,Sandy,6.6,33,1672,DAP,Leaf Spot - Chlorothalonil
Black Gram,Clayey,6.7,28,825,Phosphate Fertilizer,Thrips - Spinosad
Basil,Black,6.6,32,954,Potash Fertilizer,Stem Borer - Carbaryl
Ginger,Clayey,6.2,24,2150,Calcium Ammonium Nitrate,Leaf Spot - Chlorothalonil
Cabbage,Laterite,7,33,1632,Organic Compost,Red Rot - Carbendazim
Papaya,Black,6.5,12,1639,NPK Fertilizer,Mealybug - Buprofezin
Sugarcane,Red,7.2,21,2080,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Tomato,Sandy Loam,7.5,15,2212,DAP,Stem Borer - Carbaryl
Eucalyptus,Sandy Loam,7.5,31,1767,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Mustard,Alluvial,7.2,27,1334,Urea,Aphids - Imidacloprid
Peach,Sandy Loam,6.3,34,1759,Potash Fertilizer,Thrips - Spinosad
Basil,Mountain,5.5,34,1087,NPK Fertilizer,Rust - Propiconazole
Cauliflower,Red,5.9,29,1413,Potassium Nitrate,Bud Rot - Copper Oxychloride
Blueberry,Loamy,6.4,20,873,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Cabbage,Sandy Loam,6.9,26,1037,NPK Fertilizer,Bud Rot - Copper Oxychloride
Radish,Red,7,27,1648,NPK Fertilizer,Scab - Captan
Groundnut,Black,6.9,27,1917,NPK Fertilizer,Coffee Rust - Propiconazole
Onion,Black,6.8,13,1486,DAP,Leaf Curl - Imidacloprid
Mahogany,Laterite,6.3,35,1721,NPK Fertilizer,Leaf Spot - Chlorothalonil
Coffee,Mountain,5.8,25,1806,Farmyard Manure,Late Blight - Mancozeb
Peas,Red,6.8,33,458,Potash Fertilizer,Rust - Mancozeb
